Date,Btc,Ether
2018-02-20,1491.69,41.095
2018-02-19,1518.5749999999998,37.095
2018-02-18,1534.9450000000002,33.3
2018-02-17,1542.89,34.89
2018-02-16,1464.17,34.120000000000005
2018-02-15,1365.4450000000002,34.239999999999995
2018-02-14,1306.62,34.92
2018-02-13,1247.575,31.525
2018-02-12,1262.545,27.32
2018-02-11,1252.0349999999999,23.71
2018-02-10,1305.2649999999999,24.865
2018-02-09,1274.4,23.605
2018-02-08,1148.385,20.055
2018-02-07,971.49,18.95
2018-02-06,871.4649999999999,16.740000000000002
2018-02-05,1006.325,18.54
2018-02-04,1194.145,22.32
2018-02-03,1193.63,22.75
2018-02-02,1126.6399999999999,21.66
2018-02-01,1359.0900000000001,26.31
2018-01-31,1464.56,27.36
2018-01-30,1565.12,29.375
2018-01-29,1700.7849999999999,32.315
2018-01-28,1699.375,32.01
2018-01-27,1616.795,29.14
2018-01-26,1589.5,28.255000000000003
2018-01-25,1659.37,29.59
2018-01-24,1639.38,29.31
2018-01-23,1602.53,28.36
2018-01-22,1670.46,29.880000000000003
2018-01-21,1883.845,32.745000000000005
2018-01-20,1952.4499999999998,33.825
2018-01-19,1797.3249999999998,31.705000000000002
2018-01-18,1794.8600000000001,30.455
2018-01-17,1618.05,26.424999999999997
2018-01-16,1981.415,31.875
2018-01-15,2452.2200000000003,42.065
2018-01-14,2618.325,43.675
2018-01-13,2719.65,39.47
2018-01-12,2530.7799999999997,34.47
2018-01-11,2686.665,34.7
2018-01-10,2646.84,36.975
2018-01-09,2424.7749999999996,35.405
2018-01-08,2542.695,36.97
2018-01-07,2900.7349999999997,40.43
2018-01-06,2655.525,37.445
2018-01-05,2509.455,37.09
2018-01-04,2484.75,35.83
2018-01-03,2775.515,34.175
2018-01-02,2650.8199999999997,36.04
2018-01-01,2462.19,32.175
2017-12-31,2488.99,27.535
2017-12-30,2560.51,28.145
2017-12-29,2655.725,29.415
2017-12-28,2689.04,30.26
2017-12-27,2939.6850000000004,32.24
2017-12-26,3014.2200000000003,32.980000000000004
2017-12-25,2927.6099999999997,31.564999999999998
2017-12-24,2916.995,30.61
2017-12-23,3082.2650000000003,33.135
2017-12-22,2653.955,33.22
2017-12-21,3473.505,43.730000000000004
2017-12-20,3590.325,41.09
2017-12-19,2539.925,42.425
2017-12-18,2076.38,37.465
2017-12-17,1873.29,35.305
2017-12-16,1829.78,35.160000000000004
2017-12-15,1826.3600000000001,30.585
2017-12-14,1836.78,31.84
2017-12-13,1600.2350000000001,30.595
2017-12-12,1532.835,30.405
2017-12-11,1385.17,27.955
2017-12-10,1319.025,26.71
2017-12-09,1440.15,29.884999999999998
2017-12-08,1489.625,27.75
2017-12-07,1389.24,28.405
2017-12-06,1463.4050000000002,28.91
2017-12-05,1560.58,30.405
2017-12-04,1539.545,30.25
2017-12-03,1534.9499999999998,30.83
2017-12-02,1458.9299999999998,31.235
2017-12-01,1391.5700000000002,28.52
2017-11-30,1345.425,26.015
2017-11-29,1502.685,29.46
2017-11-28,1586.28,30.225
2017-11-27,1675.095,24.125
2017-11-26,1660.98,21.98
2017-11-25,1596.1599999999999,21.48
2017-11-24,1679.295,19.915
2017-11-23,1491.88,18.27
2017-11-22,1253.425,17.939999999999998
2017-11-21,1182.515,17.875
2017-11-20,1201.645,18.259999999999998
2017-11-19,1203.21,17.825
2017-11-18,1292.77,17.560000000000002
2017-11-17,1040.7,17.17
2017-11-16,1043.465,16.945
2017-11-15,1259.185,17.565
2017-11-14,1300.8000000000002,17.409999999999997
2017-11-13,1272.08,15.565000000000001
2017-11-12,1846.615,18.395
2017-11-11,1157.19,17.2
2017-11-10,843.27,14.635
2017-11-09,644.7,14.2
2017-11-08,605.99,14.08
2017-11-07,614.33,14.285
2017-11-06,629.995,14.385000000000002
2017-11-05,607.425,13.015
2017-11-04,606.585,11.940000000000001
2017-11-03,631.1949999999999,11.465
2017-11-02,562.4549999999999,10.100000000000001
2017-11-01,488.08500000000004,10.46
2017-10-31,442.91499999999996,10.78
2017-10-30,448.02,10.885000000000002
2017-10-29,467.26,10.895
2017-10-28,397.25,10.485
2017-10-27,355.525,10.440000000000001
2017-10-26,341.075,10.59
2017-10-25,327.38,10.525
2017-10-24,325.96500000000003,10.495000000000001
2017-10-23,321.075,10.395
2017-10-22,339.51,10.985
2017-10-21,322.955,11.05
2017-10-20,328.03,11.365
2017-10-19,332.77,11.45
2017-10-18,344.975,11.365
2017-10-17,352.29999999999995,12.105
2017-10-16,314.27,11.965
2017-10-15,315.635,12.129999999999999
2017-10-14,322.385,12.3
2017-10-13,313.73,12.065000000000001
2017-10-12,320.41999999999996,11.75
2017-10-11,316.695,11.5
2017-10-10,331.86,11.504999999999999
2017-10-09,315.9,11.685
2017-10-08,349.73,12.274999999999999
2017-10-07,360.47,12.205
2017-10-06,363.12,12.17
2017-10-05,359.82,11.835
2017-10-04,379.5,12.175
2017-10-03,408.765,12.129999999999999
2017-10-02,421.35,12.625
2017-10-01,426.04499999999996,12.82
2017-09-30,439.075,12.83
2017-09-29,437.45500000000004,12.645
2017-09-28,449.35,12.975
2017-09-27,449.70500000000004,12.03
2017-09-26,450.03999999999996,11.335
2017-09-25,434.89,10.695
2017-09-24,426.145,10.530000000000001
2017-09-23,420.205,10.445
2017-09-22,419.105,10.23
2017-09-21,446.875,10.629999999999999
2017-09-20,499.405,11.370000000000001
2017-09-19,500.23,11.530000000000001
2017-09-18,450.89,10.91
2017-09-17,411.48,9.835
2017-09-16,419.59000000000003,10.405
2017-09-15,375.03999999999996,9.434999999999999
2017-09-14,438.755,11.620000000000001
2017-09-13,495.21000000000004,14.059999999999999
2017-09-12,532.115,14.965
2017-09-11,535.96,14.18
2017-09-10,515.42,13.645
2017-09-09,562.665,15.125
2017-09-08,622.4,16.395
2017-09-07,655.74,18.325000000000003
2017-09-06,591.325,17.805
2017-09-05,504.865,15.575000000000001
2017-09-04,554.505,17.04
2017-09-03,590.5,19.27
2017-09-02,601.315,20.93
2017-09-01,616.125,19.384999999999998
2017-08-31,587.915,16.064999999999998
2017-08-30,570.3050000000001,15.77
2017-08-29,563.81,15.855
2017-08-28,611.2,16.055
2017-08-27,622.25,15.815000000000001
2017-08-26,634.645,15.215
2017-08-25,644.855,15.254999999999999
2017-08-24,657.315,15.545
2017-08-23,683.495,15.68
2017-08-22,652.575,14.36
2017-08-21,665.03,14.45
2017-08-20,771.45,13.855
2017-08-19,858.565,13.765
2017-08-18,611.37,14.08
2017-08-17,376.815,14.094999999999999
2017-08-16,298.91499999999996,14.09
2017-08-15,299.7,13.809999999999999
2017-08-14,310.445,14.295
2017-08-13,307.76,14.445
2017-08-12,327.775,15.02
2017-08-11,313.09000000000003,15.254999999999999
2017-08-10,293.18,15.385
2017-08-09,323.96500000000003,15.735
2017-08-08,347.95000000000005,15.59
2017-08-07,298.815,15.325
2017-08-06,213.57,15.844999999999999
2017-08-05,237.01,15.455
2017-08-04,309.99,15.195
2017-08-03,441.66499999999996,15.030000000000001
2017-08-02,533.13,14.76
2017-08-01,318.245,14.274999999999999
2017-07-31,307.005,13.845
2017-07-30,350.695,14.085
2017-07-29,373.73,13.975000000000001
2017-07-28,341.12,14.395
2017-07-27,414.375,14.715
2017-07-26,403.975,14.65
2017-07-25,439.875,15.21
2017-07-24,494.04999999999995,15.79
2017-07-23,495.375,15.995000000000001
